suite,file,idx,validator_label,user_label,timestamp
gemma3-12b-gpqa-test,gpqa_google_gemma-3-12b-it_20251221-084933.pt,10,0,agree,2026-05-24 16:14:08
gemma3-12b-gpqa-test,gpqa_google_gemma-3-12b-it_20251221-085243.pt,31,0,agree,2026-05-24 16:14:11
gemma3-12b-gpqa-test,gpqa_google_gemma-3-12b-it_20251221-084933.pt,11,0,agree,2026-05-24 16:20:04
gemma3-12b-gpqa-test,gpqa_google_gemma-3-12b-it_20251221-085108.pt,23,0,agree,2026-05-24 16:20:04
gemma3-12b-gpqa-test,gpqa_google_gemma-3-12b-it_20251221-085416.pt,1,0,agree,2026-05-24 16:20:04
gemma3-12b-gpqa-test,gpqa_google_gemma-3-12b-it_20251221-085553.pt,15,0,agree,2026-05-24 16:20:04
gemma3-12b-gpqa-test,gpqa_google_gemma-3-12b-it_20251221-090027.pt,17,1,agree,2026-05-24 16:20:04
gemma3-12b-gpqa-test,gpqa_google_gemma-3-12b-it_20251221-090754.pt,16,0,agree,2026-05-24 16:20:04
gemma3-12b-gpqa-test,gpqa_google_gemma-3-12b-it_20251221-090754.pt,12,1,disagree,2026-05-24 16:20:04
gemma3-12b-gsm-test,gsm8k_google_gemma-3-12b-it_20251220-172204.pt,24,1,agree,2026-05-24 16:20:04
gemma3-12b-gsm-test,gsm8k_google_gemma-3-12b-it_20251220-172424.pt,32,1,agree,2026-05-24 16:20:04
gemma3-12b-gsm-test,gsm8k_google_gemma-3-12b-it_20251220-172424.pt,47,1,agree,2026-05-24 16:20:04
gemma3-12b-gsm-test,gsm8k_google_gemma-3-12b-it_20251220-172424.pt,27,1,agree,2026-05-24 16:20:04
gemma3-12b-gsm-test,gsm8k_google_gemma-3-12b-it_20251220-172513.pt,28,1,agree,2026-05-24 16:20:04
gemma3-12b-gsm-test,gsm8k_google_gemma-3-12b-it_20251220-172809.pt,58,1,agree,2026-05-24 16:20:04
gemma3-12b-gsm-test,gsm8k_google_gemma-3-12b-it_20251220-173006.pt,15,1,agree,2026-05-24 16:20:04
gemma3-12b-gsm-test,gsm8k_google_gemma-3-12b-it_20251220-173233.pt,5,1,agree,2026-05-24 16:20:04
gemma3-12b-gsm-test,gsm8k_google_gemma-3-12b-it_20251220-173421.pt,5,1,agree,2026-05-24 16:20:04
gemma3-12b-gsm-test,gsm8k_google_gemma-3-12b-it_20251220-173514.pt,45,1,agree,2026-05-24 16:20:04
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-061428.pt,30,1,agree,2026-05-24 16:20:04
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-061600.pt,25,1,agree,2026-05-24 16:20:04
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-061939.pt,6,1,agree,2026-05-24 16:20:04
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-065513.pt,6,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-065646.pt,14,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-065936.pt,4,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-070142.pt,23,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-070243.pt,25,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-070340.pt,28,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-072948.pt,21,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-073120.pt,24,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-073243.pt,4,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-073243.pt,20,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-074206.pt,8,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-074649.pt,7,0,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-074845.pt,11,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-075621.pt,20,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-080108.pt,3,1,agree,2026-05-24 16:21:21
gemma3-12b-gsmsymbolic-test,gsm8ksymbolic_google_gemma-3-12b-it_20251221-081401.pt,26,1,agree,2026-05-24 16:21:21
